Date,Text,Link(s),Media URL(s)
2025-11-29 18:00,"情報過多の時代、お子様が本当に必要な力は何でしょうか？if(塾)では、単にプログラミングを学ぶだけでなく、複雑な情報の中から本質を見抜き、課題を解決する力を育みます。✅思考力を養うプロジェクト学習 ✅AIを活用した効率的な情報収集 ✅論理的な問題解決プロセスを習得。お子様の「生きる力」をif(塾)で育みませんか？※塾頭による完全自動化への挑戦としてAIが投稿を生成しています。興味を持っていただけたら、ぜひお気軽にDMやプロフィールのリンクからご連絡ください。無料体験・ご相談お待ちしています！ #if塾 #オンラインプログラミング #AI学習 #子どもの教育 #将来の選択肢 #STEAM教育 #論理的思考力 #情報リテラシー",,"https://images.if-juku.net/if-juku_post_2025_11_29_02_08/000.png,https://images.if-juku.net/if-juku_post_2025_11_29_02_08/001.png,https://images.if-juku.net/if-juku_post_2025_11_29_02_08/002.png,https://images.if-juku.net/if-juku_post_2025_11_29_02_08/003.png,https://images.if-juku.net/if-juku_post_2025_11_29_02_08/juku_thanks.png"
2025-11-30 18:00,"AIが社会を変革する中で、その倫理について考えることは不可欠です。if(塾)では、単にAIを開発するだけでなく、責任あるAI活用について学びます。✅AI倫理の基礎知識を習得 ✅社会貢献を意識したプロジェクト立案 ✅未来をリードする開発者を目指す。持続可能な未来を築くAI教育をif(塾)で。※塾頭による完全自動化への挑戦としてAIが投稿を生成しています。興味を持っていただけたら、ぜひお気軽にDMやプロフィールのリンクからご連絡ください。無料体験・ご相談お待ちしています！ #if塾 #オンラインプログラミング #AI学習 #AI倫理 #プログラミング教育 #社会課題解決 #起業家育成 #デジタルリテラシー",,"https://images.if-juku.net/if-juku_post_2025_11_29_02_08/004.png,https://images.if-juku.net/if-juku_post_2025_11_29_02_08/005.png,https://images.if-juku.net/if-juku_post_2025_11_29_02_08/006.png,https://images.if-juku.net/if-juku_post_2025_11_29_02_08/007.png,https://images.if-juku.net/if-juku_post_2025_11_29_02_08/juku_thanks.png"
2025-12-01 18:00,"ゲームが好きなお子様に、if(塾)は新しい扉を開きます。単にゲームを「プレイする」だけでなく、自分で「創り出す」ことで、プログラミングや問題解決能力を育みます。✅マインクラフトでゲーム開発体験 ✅AIを活用したアイデア創出 ✅プロのメンターが夢中をサポート。Y君のように、あなたの「好き」を未来の力に変えませんか？※塾頭による完全自動化への挑戦としてAIが投稿を生成しています。興味を持っていただけたら、ぜひお気軽にDMやプロフィールのリンクからご連絡ください。無料体験・ご相談お待ちしています！ #if塾 #オンラインプログラミング #AI学習 #マインクラフト教育 #ゲーム開発 #eスポーツ #プログラミング初心者 #子どもの教育",,"https://images.if-juku.net/if-juku_post_2025_11_29_02_08/008.png,https://images.if-juku.net/if-juku_post_2025_11_29_02_08/009.png,https://images.if-juku.net/if-juku_post_2025_11_29_02_08/010.png,https://images.if-juku.net/if-juku_post_2025_11_29_02_08/011.png,https://images.if-juku.net/if-juku_post_2025_11_29_02_08/juku_thanks.png"
2025-12-02 18:00,"if(塾)では、マインクラフトを活用した共同プロジェクトを通じて、チームで課題を解決する力を育みます。✅コミュニケーション能力を向上 ✅協力しながら大規模な作品を制作 ✅達成感を分かち合う喜び。一人では難しいことも、仲間と一緒ならきっと実現できます。未来を創る力をif(塾)で育みませんか？※塾頭による完全自動化への挑戦としてAIが投稿を生成しています。興味を持っていただけたら、ぜひお気軽にDMやプロフィールのリンクからご連絡ください。無料体験・ご相談お待ちしています！ #if塾 #オンラインプログラミング #AI学習 #マインクラフト教育 #チームワーク #STEAM教育 #協調性 #共同プロジェクト",,"https://images.if-juku.net/if-juku_post_2025_11_29_02_08/012.png,https://images.if-juku.net/if-juku_post_2025_11_29_02_08/013.png,https://images.if-juku.net/if-juku_post_2025_11_29_02_08/014.png,https://images.if-juku.net/if-juku_post_2025_11_29_02_08/015.png,https://images.if-juku.net/if-juku_post_2025_11_29_02_08/juku_thanks.png"
2025-12-03 18:00,"オンライン学習で集中力が続くか不安ではありませんか？if(塾)では、臨床心理士でもある塾頭の専門知識に基づいた学習設計で、お子様の集中力を最大限に引き出します。✅休憩を挟んだ効率的なカリキュラム ✅達成可能な目標設定でモチベーション維持 ✅個別フィードバックで理解度向上。オンラインでも確かな学びをif(塾)で体験しませんか？※塾頭による完全自動化への挑戦としてAIが投稿を生成しています。興味を持っていただけたら、ぜひお気軽にDMやプロフィールのリンクからご連絡ください。無料体験・ご相談お待ちしています！ #if塾 #オンラインプログラミング #AI学習 #個別指導 #オンライン習い事 #子どもの教育 #集中力アップ #臨床心理士",,"https://images.if-juku.net/if-juku_post_2025_11_29_02_08/016.png,https://images.if-juku.net/if-juku_post_2025_11_29_02_08/017.png,https://images.if-juku.net/if-juku_post_2025_11_29_02_08/018.png,https://images.if-juku.net/if-juku_post_2025_11_29_02_08/019.png,https://images.if-juku.net/if-juku_post_2025_11_29_02_08/juku_thanks.png"
2025-12-04 18:00,"あなたの「こんなものがあったらいいな」というアイデア、if(塾)で形にしませんか？学生起業家メンターが、アイデア出しからビジネスモデル構築、プロトタイプ開発まで一貫してサポートします。✅AIを活用した市場分析 ✅実践的なプロジェクト企画・実行 ✅アイデアを現実にするプロセスを体験。未来を創造する力をif(塾)で手に入れよう。※塾頭による完全自動化への挑戦としてAIが投稿を生成しています。興味を持っていただけたら、ぜひお気軽にDMやプロフィールのリンクからご連絡ください。無料体験・ご相談お待ちしています！ #if塾 #オンラインプログラミング #AI学習 #起業家育成 #ビジネスモデル #アイデアソン #プロジェクト学習 #メンター",,"https://images.if-juku.net/if-juku_post_2025_11_29_02_08/020.png,https://images.if-juku.net/if-juku_post_2025_11_29_02_08/021.png,https://images.if-juku.net/if-juku_post_2025_11_29_02_08/022.png,https://images.if-juku.net/if-juku_post_2025_11_29_02_08/023.png,https://images.if-juku.net/if-juku_post_2025_11_29_02_08/juku_thanks.png"
2025-12-05 18:00,"if(塾)のCTO井上陽斗は、AI甲子園全国5位の実力者。彼の「まるでドラえもんのように頼まれたものをいつの間にか作る天才的な開発力」は、if(塾)の根幹を支えています。✅革新的な学習システム開発 ✅生徒のアイデアを技術で形に ✅未来を先取りする技術指導。彼の開発哲学に触れ、あなたの可能性を広げませんか？※塾頭による完全自動化への挑戦としてAIが投稿を生成しています。興味を持っていただけたら、ぜひお気軽にDMやプロフィールのリンクからご連絡ください。無料体験・ご相談お待ちしています！ #if塾 #オンラインプログラミング #AI学習 #CTO #マインクラフト教育 #システム開発 #イノベーション #メンター",,"https://images.if-juku.net/if-juku_post_2025_11_29_02_08/024.png,https://images.if-juku.net/if-juku_post_2025_11_29_02_08/025.png,https://images.if-juku.net/if-juku_post_2025_11_29_02_08/026.png,https://images.if-juku.net/if-juku_post_2025_11_29_02_08/027.png,https://images.if-juku.net/if-juku_post_2025_11_29_02_08/juku_thanks.png"
2025-12-06 18:00,"不登校でお悩みのお子様、そして保護者の皆様へ。if(塾)は、学校以外の新しい「居場所」を提供します。臨床心理士でもある塾頭のサポートのもと、お子様一人ひとりのペースに合わせた学習が可能です。✅柔軟なカリキュラム ✅専門家による心のケア ✅自信を育む成功体験。安心して学べる環境をif(塾)で見つけませんか？※塾頭による完全自動化への挑戦としてAIが投稿を生成しています。興味を持っていただけたら、ぜひお気軽にDMやプロフィールのリンクからご連絡ください。無料体験・ご相談お待ちしています！ #if塾 #オンラインプログラミング #AI学習 #不登校支援 #居場所 #子どもの教育 #個別指導 #臨床心理士",,"https://images.if-juku.net/if-juku_post_2025_11_29_02_08/028.png,https://images.if-juku.net/if-juku_post_2025_11_29_02_08/029.png,https://images.if-juku.net/if-juku_post_2025_11_29_02_08/030.png,https://images.if-juku.net/if-juku_post_2025_11_29_02_08/031.png,https://images.if-juku.net/if-juku_post_2025_11_29_02_08/juku_thanks.png"
2025-12-07 18:00,"AI時代を生き抜くために最も重要なスキルの一つが「プログラミング的思考」です。if(塾)では、マインクラフトやAIプログラミングを通じて、この思考力を自然に養います。✅問題を細分化して考える力 ✅最適な解決策を導き出す論理 ✅創造性と実践力を同時に育成。複雑な世界をシンプルに捉え、未来を切り拓く力をif(塾)で。※塾頭による完全自動化への挑戦としてAIが投稿を生成しています。興味を持っていただけたら、ぜひお気軽にDMやプロフィールのリンクからご連絡ください。無料体験・ご相談お待ちしています！ #if塾 #オンラインプログラミング #AI学習 #プログラミング教育 #論理的思考力 #STEAM教育 #問題解決能力 #デジタルネイティブ",,"https://images.if-juku.net/if-juku_post_2025_11_29_02_08/032.png,https://images.if-juku.net/if-juku_post_2025_11_29_02_08/033.png,https://images.if-juku.net/if-juku_post_2025_11_29_02_08/034.png,https://images.if-juku.net/if-juku_post_2025_11_29_02_08/035.png,https://images.if-juku.net/if-juku_post_2025_11_29_02_08/juku_thanks.png"
2025-12-08 18:00,"「いつか自分で何か作ってみたい」そんな漠然とした夢を、if(塾)で具体的に形にしませんか？学生起業家メンターが、アイデア発想からプログラミング、そして実現までを一貫してサポートします。✅AIを活用した開発効率化 ✅実践的なプロジェクトベース学習 ✅ゼロからイチを生み出す達成感。あなたの創造力をif(塾)で解放しましょう。※塾頭による完全自動化への挑戦としてAIが投稿を生成しています。興味を持っていただけたら、ぜひお気軽にDMやプロフィールのリンクからご連絡ください。無料体験・ご相談お待ちしています！ #if塾 #オンラインプログラミング #AI学習 #起業家育成 #アプリ開発 #プログラミング初心者 #創造力 #メンター",,"https://images.if-juku.net/if-juku_post_2025_11_29_02_08/036.png,https://images.if-juku.net/if-juku_post_2025_11_29_02_08/037.png,https://images.if-juku.net/if-juku_post_2025_11_29_02_08/038.png,https://images.if-juku.net/if-juku_post_2025_11_29_02_08/039.png,https://images.if-juku.net/if-juku_post_2025_11_29_02_08/juku_thanks.png"
